City,URL,LocalTime,Temperature
Accra,https://www.timeanddate.com/weather/ghana/accra,Tue 12:42 am,77 °F
Addis Ababa,https://www.timeanddate.com/weather/ethiopia/addis-ababa,Tue 3:42 am,57 °F
Adelaide,https://www.timeanddate.com/weather/australia/adelaide,Tue 10:12 am,58 °F
Algiers,https://www.timeanddate.com/weather/algeria/algiers,Tue 1:42 am,82 °F
Almaty,https://www.timeanddate.com/weather/kazakstan/almaty,Tue 5:42 am,55 °F
Amman,https://www.timeanddate.com/weather/jordan/amman,Tue 3:42 am,75 °F
Amsterdam,https://www.timeanddate.com/weather/netherlands/amsterdam,Tue 2:42 am,66 °F
Anadyr,https://www.timeanddate.com/weather/russia/anadyr,Tue 12:42 pm,46 °F
Anchorage,https://www.timeanddate.com/weather/usa/anchorage,Mon 4:42 pm,55 °F
Ankara,https://www.timeanddate.com/weather/turkey/ankara,Tue 3:42 am,52 °F
Antananarivo,https://www.timeanddate.com/weather/madagascar/antananarivo,Tue 3:42 am,59 °F
Asuncion,https://www.timeanddate.com/weather/paraguay/asuncion,Mon 9:42 pm,59 °F
Athens,https://www.timeanddate.com/weather/greece/athens,Tue 3:42 am,82 °F
Atlanta,https://www.timeanddate.com/weather/usa/atlanta,Mon 8:42 pm,80 °F
Auckland,https://www.timeanddate.com/weather/new-zealand/auckland,Tue 12:42 pm,59 °F
Baghdad,https://www.timeanddate.com/weather/iraq/baghdad,Tue 3:42 am,85 °F
Bangkok,https://www.timeanddate.com/weather/thailand/bangkok,Tue 7:42 am,82 °F
Barcelona,https://www.timeanddate.com/weather/spain/barcelona,Tue 2:42 am,75 °F
Beijing,https://www.timeanddate.com/weather/china/beijing,Tue 8:42 am,64 °F
Belgrade,https://www.timeanddate.com/weather/serbia/belgrade,Tue 2:42 am,59 °F
Bengaluru,https://www.timeanddate.com/weather/india/bengaluru,Tue 6:12 am,72 °F
Berlin,https://www.timeanddate.com/weather/germany/berlin,Tue 2:42 am,59 °F
Bogota,https://www.timeanddate.com/weather/colombia/bogota,Mon 7:42 pm,54 °F
Boston,https://www.timeanddate.com/weather/usa/boston,Mon 8:42 pm,75 °F
Brasilia,https://www.timeanddate.com/weather/brazil/brasilia,Mon 9:42 pm,72 °F
Brisbane,https://www.timeanddate.com/weather/australia/brisbane,Tue 10:42 am,68 °F
Brussels,https://www.timeanddate.com/weather/belgium/brussels,Tue 2:42 am,66 °F
Bucharest,https://www.timeanddate.com/weather/romania/bucharest,Tue 3:42 am,57 °F
Budapest,https://www.timeanddate.com/weather/hungary/budapest,Tue 2:42 am,66 °F
Buenos Aires,https://www.timeanddate.com/weather/argentina/buenos-aires,Mon 9:42 pm,54 °F
Cairo,https://www.timeanddate.com/weather/egypt/cairo,Tue 3:42 am,79 °F
Calgary,https://www.timeanddate.com/weather/canada/calgary,Mon 6:42 pm,55 °F
Canberra,https://www.timeanddate.com/weather/australia/canberra,Tue 10:42 am,54 °F
Cape Town,https://www.timeanddate.com/weather/south-africa/cape-town,Tue 2:42 am,59 °F
Caracas,https://www.timeanddate.com/weather/venezuela/caracas,Mon 8:42 pm,84 °F
Casablanca,https://www.timeanddate.com/weather/morocco/casablanca,Tue 1:42 am,79 °F
Chicago,https://www.timeanddate.com/weather/usa/chicago,Mon 7:42 pm,75 °F
Copenhagen,https://www.timeanddate.com/weather/denmark/copenhagen,Tue 2:42 am,63 °F
Dallas,https://www.timeanddate.com/weather/usa/dallas,Mon 7:42 pm,99 °F
Dar es Salaam,https://www.timeanddate.com/weather/tanzania/dar-es-salaam,Tue 3:42 am,72 °F
Darwin,https://www.timeanddate.com/weather/australia/darwin,Tue 10:12 am,84 °F
Denver,https://www.timeanddate.com/weather/usa/denver,Mon 6:42 pm,86 °F
Detroit,https://www.timeanddate.com/weather/usa/detroit,Mon 8:42 pm,71 °F
Dhaka,https://www.timeanddate.com/weather/bangladesh/dhaka,Tue 6:42 am,83 °F
Doha,https://www.timeanddate.com/weather/qatar/doha,Tue 3:42 am,99 °F
Dubai,https://www.timeanddate.com/weather/united-arab-emirates/dubai,Tue 4:42 am,91 °F
Dublin,https://www.timeanddate.com/weather/ireland/dublin,Tue 1:42 am,54 °F
