City,URL,LocalTime,Temperature
Accra,https://www.timeanddate.com/weather/ghana/accra,Tue 6:08 pm,81 °F
Addis Ababa,https://www.timeanddate.com/weather/ethiopia/addis-ababa,Tue 9:08 pm,63 °F
Adelaide,https://www.timeanddate.com/weather/australia/adelaide,Wed 3:38 am,53 °F
Algiers,https://www.timeanddate.com/weather/algeria/algiers,Tue 7:08 pm,85 °F
Almaty,https://www.timeanddate.com/weather/kazakstan/almaty,Tue 11:08 pm,64 °F
Amman,https://www.timeanddate.com/weather/jordan/amman,Tue 9:08 pm,81 °F
Amsterdam,https://www.timeanddate.com/weather/netherlands/amsterdam,Tue 8:08 pm,59 °F
Anadyr,https://www.timeanddate.com/weather/russia/anadyr,Wed 6:08 am,47 °F
Anchorage,https://www.timeanddate.com/weather/usa/anchorage,Tue 10:08 am,54 °F
Ankara,https://www.timeanddate.com/weather/turkey/ankara,Tue 9:08 pm,64 °F
Antananarivo,https://www.timeanddate.com/weather/madagascar/antananarivo,Tue 9:08 pm,59 °F
Asuncion,https://www.timeanddate.com/weather/paraguay/asuncion,Tue 3:08 pm,75 °F
Athens,https://www.timeanddate.com/weather/greece/athens,Tue 9:08 pm,88 °F
Atlanta,https://www.timeanddate.com/weather/usa/atlanta,Tue 2:08 pm,85 °F
Auckland,https://www.timeanddate.com/weather/new-zealand/auckland,Wed 6:08 am,45 °F
Baghdad,https://www.timeanddate.com/weather/iraq/baghdad,Tue 9:08 pm,105 °F
Bangkok,https://www.timeanddate.com/weather/thailand/bangkok,Wed 1:08 am,84 °F
Barcelona,https://www.timeanddate.com/weather/spain/barcelona,Tue 8:08 pm,82 °F
Beijing,https://www.timeanddate.com/weather/china/beijing,Wed 2:08 am,57 °F
Beirut,https://www.timeanddate.com/weather/lebanon/beirut,Tue 9:08 pm,93 °F
Belgrade,https://www.timeanddate.com/weather/serbia/belgrade,Tue 8:08 pm,81 °F
Bengaluru,https://www.timeanddate.com/weather/india/bengaluru,Tue 11:38 pm,81 °F
Berlin,https://www.timeanddate.com/weather/germany/berlin,Tue 8:08 pm,77 °F
Bogota,https://www.timeanddate.com/weather/colombia/bogota,Tue 1:08 pm,64 °F
Boston,https://www.timeanddate.com/weather/usa/boston,Tue 2:08 pm,79 °F
Brasilia,https://www.timeanddate.com/weather/brazil/brasilia,Tue 3:08 pm,79 °F
Brisbane,https://www.timeanddate.com/weather/australia/brisbane,Wed 4:08 am,56 °F
Brussels,https://www.timeanddate.com/weather/belgium/brussels,Tue 8:08 pm,68 °F
Bucharest,https://www.timeanddate.com/weather/romania/bucharest,Tue 9:08 pm,72 °F
Budapest,https://www.timeanddate.com/weather/hungary/budapest,Tue 8:08 pm,79 °F
Buenos Aires,https://www.timeanddate.com/weather/argentina/buenos-aires,Tue 3:08 pm,61 °F
Cairo,https://www.timeanddate.com/weather/egypt/cairo,Tue 9:08 pm,90 °F
Calgary,https://www.timeanddate.com/weather/canada/calgary,Tue 12:08 pm,63 °F
Canberra,https://www.timeanddate.com/weather/australia/canberra,Wed 4:08 am,37 °F
Cape Town,https://www.timeanddate.com/weather/south-africa/cape-town,Tue 8:08 pm,61 °F
Caracas,https://www.timeanddate.com/weather/venezuela/caracas,Tue 2:08 pm,91 °F
Casablanca,https://www.timeanddate.com/weather/morocco/casablanca,Tue 7:08 pm,81 °F
Chicago,https://www.timeanddate.com/weather/usa/chicago,Tue 1:08 pm,79 °F
Copenhagen,https://www.timeanddate.com/weather/denmark/copenhagen,Tue 8:08 pm,57 °F
Dallas,https://www.timeanddate.com/weather/usa/dallas,Tue 1:08 pm,97 °F
Dar es Salaam,https://www.timeanddate.com/weather/tanzania/dar-es-salaam,Tue 9:08 pm,75 °F
Darwin,https://www.timeanddate.com/weather/australia/darwin,Wed 3:38 am,77 °F
Denver,https://www.timeanddate.com/weather/usa/denver,Tue 12:08 pm,79 °F
Detroit,https://www.timeanddate.com/weather/usa/detroit,Tue 2:08 pm,78 °F
Dhaka,https://www.timeanddate.com/weather/bangladesh/dhaka,Wed 12:08 am,84 °F
Doha,https://www.timeanddate.com/weather/qatar/doha,Tue 9:08 pm,97 °F
Dubai,https://www.timeanddate.com/weather/united-arab-emirates/dubai,Tue 10:08 pm,99 °F
